Index,network,μ,β,p
260,Erdos-Renyi_500_350.net,0.9,0.54,0.3336404494382022
262,Erdos-Renyi_500_350.net,0.9,0.56,0.3394157303370786
264,Erdos-Renyi_500_350.net,0.9,0.58,0.3447865168539326
266,Erdos-Renyi_500_350.net,0.9,0.6,0.3481797752808988
268,Erdos-Renyi_500_350.net,0.9,0.62,0.3534157303370786
270,Erdos-Renyi_500_350.net,0.9,0.64,0.35746067415730354
272,Erdos-Renyi_500_350.net,0.9,0.66,0.36053932584269655
274,Erdos-Renyi_500_350.net,0.9,0.68,0.365123595505618
276,Erdos-Renyi_500_350.net,0.9,0.7,0.3675505617977529
278,Erdos-Renyi_500_350.net,0.9,0.72,0.3725393258426967
280,Erdos-Renyi_500_350.net,0.9,0.74,0.37561797752808995
282,Erdos-Renyi_500_350.net,0.9,0.76,0.37880898876404495
284,Erdos-Renyi_500_350.net,0.9,0.78,0.38292134831460667
286,Erdos-Renyi_500_350.net,0.9,0.8,0.3849213483146066
288,Erdos-Renyi_500_350.net,0.9,0.82,0.38739325842696615
290,Erdos-Renyi_500_350.net,0.9,0.84,0.3890561797752808
292,Erdos-Renyi_500_350.net,0.9,0.86,0.39157303370786517
294,Erdos-Renyi_500_350.net,0.9,0.88,0.39568539325842716
296,Erdos-Renyi_500_350.net,0.9,0.9,0.39633707865168555
298,Erdos-Renyi_500_350.net,0.9,0.92,0.39903370786516856
300,Erdos-Renyi_500_350.net,0.9,0.94,0.4022921348314606
302,Erdos-Renyi_500_350.net,0.9,0.96,0.40341573033707867
304,Erdos-Renyi_500_350.net,0.9,0.98,0.4054606741573034
306,Erdos-Renyi_500_350.net,0.9,1.0,0.4073707865168541
