Index,network,μ,β,p
87,Barabasi-Albert_50_600_6.net,0.5,0.7,0.6662810530218742
88,Barabasi-Albert_50_600_9_1.net,0.1,0.86,0.9100333704115586
89,Barabasi-Albert_50_600_6.net,0.5,0.74,0.6666629588431566
90,Barabasi-Albert_50_600_9_1.net,0.1,0.88,0.9087893956247577
91,Barabasi-Albert_50_600_6.net,0.5,0.78,0.6668464961067823
92,Barabasi-Albert_50_600_9_1.net,0.1,0.9,0.9090730441230896
93,Barabasi-Albert_50_600_6.net,0.5,0.82,0.6669373377827192
94,Barabasi-Albert_50_600_9_1.net,0.1,0.92,0.9091509084167488
95,Barabasi-Albert_50_600_6.net,0.5,0.86,0.6666444197256186
96,Barabasi-Albert_50_600_9_1.net,0.1,0.94,0.9097311827956889
97,Barabasi-Albert_50_600_6.net,0.5,0.9,0.6665888023730049
98,Barabasi-Albert_50_600_9_1.net,0.1,0.96,0.9089469781238302
99,Barabasi-Albert_50_600_6.net,0.5,0.94,0.6667315535780463
100,Barabasi-Albert_50_600_9_1.net,0.1,0.98,0.9087152391546057
101,Barabasi-Albert_50_600_6.net,0.5,0.98,0.6669799777530561
102,Barabasi-Albert_50_600_9_1.net,0.1,1.0,0.9095939933259075
103,Barabasi-Albert_50_600_6.net,0.9,0.0,3.5224323322209867e-5
104,Barabasi-Albert_50_600_9_1.net,0.5,0.0,0.00024100852799406754
105,Barabasi-Albert_50_600_6.net,0.9,0.04,0.26339636633296254
106,Barabasi-Albert_50_600_9_1.net,0.5,0.02,0.33344827586206893
107,Barabasi-Albert_50_600_6.net,0.9,0.08,0.3666054875787918
108,Barabasi-Albert_50_600_9_1.net,0.5,0.04,0.4636169818316645
109,Barabasi-Albert_50_600_6.net,0.9,0.12,0.42421764923989635
110,Barabasi-Albert_50_600_9_1.net,0.5,0.06,0.5295142751205042
111,Barabasi-Albert_50_600_6.net,0.9,0.16,0.4585780496848347
112,Barabasi-Albert_50_600_9_1.net,0.5,0.08,0.5702131998516862
113,Barabasi-Albert_50_600_6.net,0.9,0.2,0.48147015202076504
114,Barabasi-Albert_50_600_9_1.net,0.5,0.1,0.5970114942528746
115,Barabasi-Albert_50_600_6.net,0.9,0.24,0.49644975899147226
116,Barabasi-Albert_50_600_9_1.net,0.5,0.12,0.6159492028179474
117,Barabasi-Albert_50_600_6.net,0.9,0.28,0.5064775676677781
118,Barabasi-Albert_50_600_9_1.net,0.5,0.14,0.6288505747126434
119,Barabasi-Albert_50_600_6.net,0.9,0.32,0.5130533926585084
120,Barabasi-Albert_50_600_9_1.net,0.5,0.16,0.6377938450129751
121,Barabasi-Albert_50_600_6.net,0.9,0.36,0.5179069336299582
122,Barabasi-Albert_50_600_9_1.net,0.5,0.18,0.64552836484983
123,Barabasi-Albert_50_600_6.net,0.9,0.4,0.5208342602892084
124,Barabasi-Albert_50_600_9_1.net,0.5,0.2,0.6496588802372981
125,Barabasi-Albert_50_600_6.net,0.9,0.44,0.5232017055988122
126,Barabasi-Albert_50_600_9_1.net,0.5,0.22,0.6540174267704828
127,Barabasi-Albert_50_600_6.net,0.9,0.48,0.5242324805339268
128,Barabasi-Albert_50_600_9_1.net,0.5,0.24,0.656946607341489
