Index,network,μ,β,p
318,ER_N500_k6.net,0.9,0.06,0.24246245299587937
321,ER_N500_k6.net,0.9,0.08,0.2836909774605391
324,ER_N500_k6.net,0.9,0.1,0.32001080813312016
327,ER_N500_k6.net,0.9,0.12,0.34991330976559853
330,ER_N500_k6.net,0.9,0.14,0.37270045709396327
333,ER_N500_k6.net,0.9,0.16,0.3978293665983655
336,ER_N500_k6.net,0.9,0.18,0.4148521762626376
339,ER_N500_k6.net,0.9,0.2,0.4292855373668686
342,ER_N500_k6.net,0.9,0.22,0.4401387043750421
345,ER_N500_k6.net,0.9,0.24,0.4496633716871944
348,ER_N500_k6.net,0.9,0.26,0.4612145639593796
351,ER_N500_k6.net,0.9,0.28,0.46796964715948736
354,ER_N500_k6.net,0.9,0.3,0.4762558825516202
357,ER_N500_k6.net,0.9,0.32,0.4809168899596947
360,ER_N500_k6.net,0.9,0.34,0.48575803291977215
363,ER_N500_k6.net,0.9,0.36,0.4901938708878429
366,ER_N500_k6.net,0.9,0.38,0.4956880052239309
369,ER_N500_k6.net,0.9,0.4,0.5002139109680035
372,ER_N500_k6.net,0.9,0.42,0.5028709103600458
375,ER_N500_k6.net,0.9,0.44,0.5063160027921011
378,ER_N500_k6.net,0.9,0.46,0.5082749769201322
381,ER_N500_k6.net,0.9,0.48,0.5103690527121659
384,ER_N500_k6.net,0.9,0.5,0.5129810182162077
387,ER_N500_k6.net,0.9,0.52,0.5141518993042267
390,ER_N500_k6.net,0.9,0.54,0.5153452973362458
393,ER_N500_k6.net,0.9,0.56,0.5177320934002836
396,ER_N500_k6.net,0.9,0.58,0.5186327711602984
399,ER_N500_k6.net,0.9,0.6,0.5198712030803182
402,ER_N500_k6.net,0.9,0.62,0.5202539911283243
405,ER_N500_k6.net,0.9,0.64,0.5213573213843417
408,ER_N500_k6.net,0.9,0.66,0.5226633041363629
411,ER_N500_k6.net,0.9,0.68,0.5218526941523497
414,ER_N500_k6.net,0.9,0.7,0.5228209227443652
417,ER_N500_k6.net,0.9,0.72,0.5246898290963949
420,ER_N500_k6.net,0.9,0.74,0.5234739141203756
423,ER_N500_k6.net,0.9,0.76,0.5249149985363988
426,ER_N500_k6.net,0.9,0.78,0.525140167976402
429,ER_N500_k6.net,0.9,0.8,0.5259507779604153
432,ER_N500_k6.net,0.9,0.82,0.5245997613203935
435,ER_N500_k6.net,0.9,0.84,0.5268739726644297
438,ER_N500_k6.net,0.9,0.86,0.5272567607124362
441,ER_N500_k6.net,0.9,0.88,0.5259057440724143
444,ER_N500_k6.net,0.9,0.9,0.5264236337844228
447,ER_N500_k6.net,0.9,0.92,0.5269190065524307
450,ER_N500_k6.net,0.9,0.94,0.5264011168404226
453,ER_N500_k6.net,0.9,0.96,0.5263335660084212
456,ER_N500_k6.net,0.9,0.98,0.5271441759924343
459,ER_N500_k6.net,0.9,1.0,0.5278872351444459
